id,ticker,underlying,description,exchange_group,exchange,expiry_posix_datetime,min_order_size,tick_size,tradeable_tick_size,currency,tt_symbol_id
153,NGJ4,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0DY00NGZ
154,NGK6,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0EQ00NGZ
155,NGK7,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0ER00NGZ
156,NGK8,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0ES00NGZ
157,NGK9,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0ET00NGZ
158,NGK0,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0EU00NGZ
159,NGK1,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0EV00NGZ
160,NGK2,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0EW00NGZ
161,NGK3,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0EX00NGZ
162,NGK4,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0EY00NGZ
163,NGM6,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0FQ00NGZ
164,NGM7,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0FR00NGZ
165,NGM8,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0FS00NGZ
166,NGM9,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0FT00NGZ
167,NGM0,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0FU00NGZ
168,NGM1,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0FV00NGZ
169,NGM2,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0FW00NGZ
170,NGM3,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0FX00NGZ
171,NGM4,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0FY00NGZ
172,NGN6,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0GQ00NGZ
